precedent_id,title,member_rtms,member_count,contract_section,technical_parent_scope,parent_binding_confidence,verification_intent,evidence_before_sat,closure_report,lifecycle_gate,acceptance_authority,cross_cutting_note,STAR_realistic_guard,authority
VP-SAT-01,Operational transitions and sequence operability,RTM-510; RTM-511,2,4.13.3.1 / 4.13.3.2,RTM-012..RTM-024 (§4.2.2 Operational Scenarios and Transitions),SOURCE_BOUND_FAMILY_HIGH,"Demonstrate startup/shutdown, entry/operation/exit of defined Operational Scenarios, transitions, valve logic and automatic sequences.",RTM-572/573 Engineering File; approved SAT Programme under RTM-491..493,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,RTM-511 also supports VP-SAT-12 controls/interlocks.,Representative transition matrix may rationalise combinatorics only if every mandatory state/transition predicate remains traceable.,DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-02,"Abnormal, LOOP, stress and safety response",RTM-512; RTM-513; RTM-514; RTM-517,4,4.13.3.2,RTM-048..RTM-054; RTM-252..RTM-262; RTM-298..RTM-309; RTM-372; RTM-428; RTM-433; safety/protection scope RTM-594..RTM-613,SOURCE_BOUND_MIXED_EXACT_AND_FAMILY,"Demonstrate abnormal-event behaviour, backup utilities and helium recovery, controlled utility/control/purity stress, safety functions, and selected QPS abnormal events.",Engineering analysis/cause-effect; LOOP state machine; approved safe test or equivalent-injection method,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,RTM-512/513/514 cross-link controls and safety; RTM-517 is the source-confirmed abnormal-event SAT closure of RTM-048.,"Allow simulation/injection where full destructive reproduction adds no value, but preserve installed end-to-end proof and all acceptance predicates.",DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-03,WCS and QRB subsystem functional readiness,RTM-515; RTM-516,2,4.13.3.2,"§4.4.3 WCS and §4.4.4 QRB; source-supported anchors RTM-148..RTM-174, RTM-210..RTM-218 and RTM-470 where applicable",SECTION_BOUND_WITH_SOURCE_SUPPORTED_ANCHORS,Demonstrate WCS standalone functionality and QRB functionality after successful WCS testing.,Manufacturing/Installation/QCR evidence and prerequisite functional test records,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,Performance-specific WCS/QRB criteria remain in VP-SAT-04/07/08 and are not collapsed into mere functional readiness.,"Do not substitute subsystem functional checkout for required capacity, integrity or rotating-equipment acceptance.",DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-04,Cooling capacity and stable performance,RTM-518; RTM-519; RTM-520; RTM-521; RTM-522; RTM-523; RTM-524; RTM-525,8,4.13.3.3 / 4.13.3.3.1,RTM-030..RTM-034 (§4.2.4 design/standby loads) plus applicable capacity and measurement requirements,SOURCE_BOUND_HIGH,"Demonstrate required cooling/refrigeration capacity, sustained stable runs, measurement boundary and regulation stability at the required operating points.",Engineering performance basis; calibrated measurement plan; approved SAT Programme,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,RTM-521 is the shared measurement/quantity basis for several later performance precedents.,Test duration or point count can only be changed by explicit accepted equivalence; no criterion is removed by grouping.,DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-05,2 K operating envelope and controllability,RTM-526; RTM-527; RTM-528; RTM-529,4,4.13.3.3.2,RTM-030..RTM-037 and operational-capability-envelope RTM-078 where applicable,SOURCE_BOUND_FAMILY_HIGH,"Demonstrate robust and controllable operation across the 2K-OP envelope, predefined points, transitions and independent heat-load steps with stable recovery.",Engineering envelope/maps; control analysis; SAT test-point definition,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,Shares capacity instrumentation with VP-SAT-04 and controls evidence with VP-SAT-12.,"Representative points must preserve the source-defined envelope, predefined-point and independent-step obligations.",DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-06,QPLANT Maximal Point characterization,RTM-530,1,4.13.3.3.3,RTM-035 and RTM-044 (§4.2.4 QPLANT Maximal Point),ITEM_VERIFIED_EXACT,"Characterize the as-built maximal continuous cooling point, demonstrate stable operation and identify limiting subsystems, margins and stability limits.",Engineering capacity basis and as-built instrumentation/measurement trace,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,Feeds capacity-limit and bidder performance review without replacing design-point compliance.,Single-row precedent retained because it closes a distinct as-built contractual performance outcome.,DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-07,"Process integrity, helium purity and QRB line performance",RTM-531; RTM-532; RTM-533,3,4.13.3.3.4,RTM-252..RTM-257 leak/loss baseline; RTM-026 purity target; RTM-281..RTM-297 QRB/QDB/WPS interface family where applicable,SOURCE_BOUND_MIXED_EXACT_AND_FAMILY,"Demonstrate leak-tightness/vacuum, helium purity/contamination control and correct QRB.U/S/W functional interface behaviour.",Leak/vacuum qualification; purity/sampling plan; interface baseline; QCR/Installation evidence,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,"Purity and leak evidence also support safety, inventory and operating-procedure precedents.","Measurement locations/methods may be rationalised only with equivalent coverage of specified purity, leak and interface acceptance limits.",DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-08,Rotating and compression equipment performance,RTM-534; RTM-535; RTM-536; RTM-537; RTM-538,5,4.13.3.3.5,WCS compressor family RTM-148..RTM-174; turbine RTM-210..RTM-216; cold-compressor anchors RTM-217/218 and related §4.4.4.2.4 requirements,SOURCE_BOUND_HIGH_WITH_SECTION_REENTRY,"Demonstrate cold-compressor envelope/choke/surge, warm-compressor performance and auxiliaries, acceptance stability limits, and expansion-turbine range/stability.",OEM maps/datasheets; FAT/QCR; calibration; commissioning tuning records,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,"Noise/vibration, oil removal/dryer and control stability stay explicit child criteria.",Train-level or representative-unit testing requires accepted equivalence; grouping does not waive per-unit or stated equipment criteria.,DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-09,"Storage, withdrawal, recovery and dewar filling",RTM-539; RTM-540; RTM-541,3,4.13.3.3.6,WSH RTM-239..RTM-248; conditional QSN RTM-249..RTM-251; helium inventory/recovery RTM-252..RTM-262; external dewar service RTM-263..RTM-272,SOURCE_BOUND_HIGH,"Demonstrate WSH capacity/fill-withdraw/control, conditional QSN performance, and dewar filling including instrumentation/protection and impurity rejection.",Storage/inventory basis; interface and valve logic; commissioning evidence,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,QSN applicability remains controlled by selected design; current retirement/inapplicability controls are not reversed by this SAT grouping.,Commissioning evidence may support SAT only through the contract prior-test reuse rule; it is not deemed acceptance.,DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
VP-SAT-10,"Energy efficiency, invCOP and electrical measurement",RTM-542; RTM-543; RTM-544,3,4.13.3.3.7,"RTM-069..RTM-077 (§4.3.4 energy efficiency), with source-bound negotiation anchors RTM-069..RTM-072",SOURCE_BOUND_HIGH,"Demonstrate invCOP_contract using the agreed calculation, measurement boundary, uncertainty and independent access to electrical measurement points.",Approved invCOP methodology; electrical metering/calibration boundary; performance state data,RTM-586 / EO-SAT-REPORT,L6 SAT -> M44 SAT Report Submission -> M45 Provisional Acceptance/Handover,RTM-624 / SCK CEN written acceptance,Commercial remedy/penalty is separate from technical measurability and acceptance.,"Meter ownership can vary; the matched electrical boundary, accuracy, uncertainty and objective acceptance basis cannot disappear.",DERIVED_REVIEW_PRECEDENT_ZERO_AUTHORITY_DELTA
