observation_id,artifact_id,artifact_format,artifact_version_or_snapshot,source_hash,source_locator_page_slide_sheet_view,source_asset_locator,render_locator_page_slide_sheet_view,render_hash,render_asset_locator,review_timestamp,reviewer_or_validator,content_parity_pass,visual_release_eligible,typographic_hierarchy,whitespace_grid,figure_quality,table_readability,colour_discipline,diagram_consistency,branding_restraint,captions_citations,metadata_versioning,export_print_fidelity,information_density,executive_legibility
W176-XLSX-01,ALaT_SSOT_Rollup_and_Detail_Review_GBO___02_ROLLUP_SUMMARY_A1_D4,XLSX,snapshot_sha256,4242f68167c66326f7ec97c5ffb8cd6c4577fcb396f41b43bfa8216c995f482b,sheet=02_ROLLUP_SUMMARY;range=A1:D4,chatgpt-library://file_00000000388071f4ab4f7d1f96aa40e6#sheet=02_ROLLUP_SUMMARY&range=A1:D4&sha256=4242f68167c66326f7ec97c5ffb8cd6c4577fcb396f41b43bfa8216c995f482b,sheet=02_ROLLUP_SUMMARY;range=A1:D4;openpyxl_value_style_accessibility_render,2d35a96415aabd8bd3d04fb4b9c2f380eafcfdb4e429f11cc48497b46ac01efa,chatgpt-library://file_00000000277c822f8c9b2a767102c701,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,7,7,2,9,8,4,7,6,8,9,8,7
W176-XLSX-02,PID_PROCESS_LOGIC_EXTRACT__Summary_A1_B8,XLSX,snapshot_sha256,1b418883285d1171d8d17c3655a8f4a0647e1218807f47b42f0c3408329df111,sheet=Summary;range=A1:B8,chatgpt-library://file_00000000525c71fd97b0729d401fbcff#sheet=Summary&range=A1:B8&sha256=1b418883285d1171d8d17c3655a8f4a0647e1218807f47b42f0c3408329df111,sheet=Summary;range=A1:B8;openpyxl_value_style_accessibility_render,59ce3732ed7360468aabdbc4a89b9706d260376fd43a7fc9e7682e6523651b26,chatgpt-library://file_00000000bff481f49f158807bef3f83b,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,8,2,9,8,4,8,5,8,9,8,9
W176-XLSX-03,QA_Cryoplant_tender_suppliers_3_4_5_UPDATED_ROLLUP__Sheet1_B2_I7,XLSX,snapshot_sha256,783777815c73d712a1c3a2a31e274567d709874c85bf4979c26694db5d788b42,sheet=Sheet1;range=B2:I7,chatgpt-library://file_000000008c8471f498476ef1439cadb0#sheet=Sheet1&range=B2:I7&sha256=783777815c73d712a1c3a2a31e274567d709874c85bf4979c26694db5d788b42,sheet=Sheet1;range=B2:I7;openpyxl_value_style_accessibility_render,cf877c503aa8535f36b3cca12ceda3c9a7b5abfbe766ee517c306ea0708361f2,chatgpt-library://file_000000000b7c822fb65b564171d837b0,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,7,5,2,7,8,4,7,6,7,8,6,6
W176-XLSX-04,QPS_COST_Master_SSOT_v2_0__README_NAV_A1_B10,XLSX,snapshot_sha256,0c9fb12bdf4f24048660c83d649fb3e270cdea7717399abd9d12a2b0d5a71c12,sheet=README_NAV;range=A1:B10,chatgpt-library://file_0000000069ac81f5b9a22c152ae4fa60#sheet=README_NAV&range=A1:B10&sha256=0c9fb12bdf4f24048660c83d649fb3e270cdea7717399abd9d12a2b0d5a71c12,sheet=README_NAV;range=A1:B10;openpyxl_value_style_accessibility_render,437d056077b6b518b3d0b5843bbe242990ae667c9a34f95628af0402fb59d159,chatgpt-library://file_0000000087a881fb84b964a238dfe6bb,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,8,2,8,8,4,8,5,9,9,7,8
W176-XLSX-05,QPS_COST_Master_SSOT_v2_1_Sectional__PCA_Summary_A1_H8,XLSX,snapshot_sha256,3f5f11eb09251e4b3cf1dfc615ea287820c85bfb0d24558f592c6847a592b7c7,sheet=PCA_Summary;range=A1:H8,chatgpt-library://file_0000000075dc82439cd2d9b92e8bb605#sheet=PCA_Summary&range=A1:H8&sha256=3f5f11eb09251e4b3cf1dfc615ea287820c85bfb0d24558f592c6847a592b7c7,sheet=PCA_Summary;range=A1:H8;openpyxl_value_style_accessibility_render,45112e3134d3dd5682bfea9dc04a1ac314be59c13aa89ed7344dc997e3185318,chatgpt-library://file_00000000642081f49be7377165ec39f4,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,7,3,8,8,5,8,6,9,9,8,8
W176-XLSX-06,QPS_LKT_ALAT_BUILDING_UTILITIES_OPEX_COST_UPDATE__UTILITIES_COST_SUMMARY_A1_H10,XLSX,snapshot_sha256,5835f9ac3e78a7a1c29ae5bc321ff4b60e7d5cff63bc8591bd8f6c9b3760a2a2,sheet=UTILITIES_COST_SUMMARY;range=A1:H10,chatgpt-library://file_000000006964820c8bdbec3e748e4d2a#sheet=UTILITIES_COST_SUMMARY&range=A1:H10&sha256=5835f9ac3e78a7a1c29ae5bc321ff4b60e7d5cff63bc8591bd8f6c9b3760a2a2,sheet=UTILITIES_COST_SUMMARY;range=A1:H10;openpyxl_value_style_accessibility_render,76b879ea2393270ebb6a18e7fc2de69f13ca520cf5a6280aa56740b5922a5cbb,chatgpt-library://file_000000008640820e86b6a7c59eec13b0,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,7,4,8,8,5,8,6,9,9,8,8
W176-XLSX-07,QPS_NEGOTIATION_RFI_W14(1)__PCA_EVIDENCE_CONTROL_A1_H10,XLSX,snapshot_sha256,1a2ac2a7de9d7883433dc2864ba1a1f7d2bcb8992bdd4e41df7a3dbc72eda34d,sheet=PCA_EVIDENCE_CONTROL;range=A1:H10,chatgpt-library://file_00000000f84082438972b741104148cd#sheet=PCA_EVIDENCE_CONTROL&range=A1:H10&sha256=1a2ac2a7de9d7883433dc2864ba1a1f7d2bcb8992bdd4e41df7a3dbc72eda34d,sheet=PCA_EVIDENCE_CONTROL;range=A1:H10;openpyxl_value_style_accessibility_render,b9ebe1db47a81be37573b5160d0e6f6a85ede1c8c89a98a3bbc4044b509c3c11,chatgpt-library://file_000000002eb8820eaccc06d2de206668,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,8,4,9,8,5,8,6,9,9,8,9
W176-XLSX-08,QPS_OFFER_RTM_EVAL_TRIAGE_EXACT_REAL__START_HERE_A1_C10,XLSX,snapshot_sha256,e34db83e1f6dca41fbbc9420ab5287dff3a87bc00f14849ec8d7931ae2466327,sheet=START_HERE;range=A1:C10,chatgpt-library://file_00000000336c81f48fffda2b63f88485#sheet=START_HERE&range=A1:C10&sha256=e34db83e1f6dca41fbbc9420ab5287dff3a87bc00f14849ec8d7931ae2466327,sheet=START_HERE;range=A1:C10;openpyxl_value_style_accessibility_render,6cd97dbc4628715d1f1b22e501484d7f55bc734f1479bc96f3439cd92b2d9318,chatgpt-library://file_00000000c80881f5bec21bb9c0731200,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,8,2,9,8,4,8,6,9,9,8,9
W176-XLSX-09,QPS_OFFER_RTM_EVAL_TRIAGE_SSOT_2026-09-08__SYSTEM_SUMMARY_A1_H10,XLSX,snapshot_sha256,0a1f99b459185e38790ddedeb58ff32e5195a7eb6343b4679f459ce67e763248,sheet=SYSTEM_SUMMARY;range=A1:H10,chatgpt-library://file_00000000bd8081fdad3cc979d3aacd9d#sheet=SYSTEM_SUMMARY&range=A1:H10&sha256=0a1f99b459185e38790ddedeb58ff32e5195a7eb6343b4679f459ce67e763248,sheet=SYSTEM_SUMMARY;range=A1:H10;openpyxl_value_style_accessibility_render,a881efa12c7036024b06632cbff321f67946b23b5ca96e6ab2fe5f3a2e23e8c1,chatgpt-library://file_000000004e208210b31ef1ffe3f93cf5,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,8,3,9,8,5,8,6,9,9,8,9
W176-XLSX-10,qps_user_interface_thermo_dashboard__README_A1_B10,XLSX,snapshot_sha256,d7017d46e925d9ba872c9b6051c49914796e22bb7ad519e1b0b44dc5884835b6,sheet=README;range=A1:B10,chatgpt-library://file_00000000577c7243a736b866ff8382b7#sheet=README&range=A1:B10&sha256=d7017d46e925d9ba872c9b6051c49914796e22bb7ad519e1b0b44dc5884835b6,sheet=README;range=A1:B10;openpyxl_value_style_accessibility_render,120bb5bcc9cc22d7badf24488667e7c9c46cdb090ff227ba599086cbabe24b90,chatgpt-library://file_00000000017c81fbbc12e6f90ecf322e,2026-09-14T11:20:02+02:00,GPT-5.6-Sol_W176_XLSX_visual_census_review,True,True,8,8,3,8,8,5,8,5,8,9,7,8
