rtm_id,source_family,section_hint,proposed_role,parent_candidates,dependency_type,lifecycle_gate,evidence_class,evidence_object_id,source_reentry_status,star_S,star_T,star_A,star_R,review_action,confidence,rationale
RTM-480,COMMISSIONING_EXECUTION,4.11,VERIFICATION_CONSTRAINT_CHILD,RTM-481,CONSTRAINS,L5_STANDALONE_COMMISSIONING,B,EO-COMMISSIONING-SETUP,EXACT_SOURCE_REENTRY,PASS,PASS_L5,PASS,PASS,KEEP_TEST_SETUP_FUNCTION_CLARIFY_USER_EMULATION_BOUNDARY,HIGH,Source requires contractor test equipment/arrangements to close cryogenic circuits and emulate representative user-side commissioning conditions; this enables commissioning verification rather than being the performance outcome itself.
RTM-481,COMMISSIONING_EXECUTION,4.11,VERIFICATION_PARENT_CANDIDATE,TECHNICAL_REQUIREMENTS_VERIFIED_DURING_COMMISSIONING,VERIFIES,L5_M42_COMMISSIONING_REPORT_APPROVAL,B,EO-COMMISSIONING-EXECUTION,EXACT_SOURCE_REENTRY,PASS,PASS_L5_M42,PASS,PASS,KEEP_COMMISSIONING_EXECUTION_PARENT,HIGH,"Source requires commissioning activities including pressure integrity, control/interlock logic, calibration, compressor tuning, adsorber sequence logic and rotating-equipment tuning."
RTM-482,COMMISSIONING_EXECUTION,4.11,VERIFICATION_CHILD,RTM-481; TECHNICAL_PERFORMANCE_CAPACITY_PARENTS,VERIFIES,L5_BEFORE_SAT,B,EO-COMMISSIONING-PERFORMANCE,EXACT_SOURCE_REENTRY,PASS,PASS_PRE_SAT,PASS,REVIEW_TEST_SCOPE_PROPORTIONALITY,KEEP_PERFORMANCE_CAPACITY_VERIFICATION_ALLOW_BOUNDED_TEST_METHOD,HIGH,Source requires performance/capacity testing during Commissioning and before SAT; it is not an abnormal-event verifier of RTM-048.
RTM-491,ACCEPTANCE_PROGRAMME_GOVERNANCE,4.13.1,VERIFICATION_GOVERNANCE_PARENT_CANDIDATE,,,BEFORE_FAT_AND_SAT_EXECUTION,A/B,EO-ACCEPTANCE-PROGRAMME,SOURCE_BOUND_W116_W307,PASS,PASS,PASS,PASS,KEEP_ACCEPTANCE_RESPONSIBILITY,HIGH,Source-bound acceptance governance retains Contractor planning/execution/analysis/reporting responsibility for FAT/SAT.
RTM-492,ACCEPTANCE_PROGRAMME_GOVERNANCE,4.13.1,TIME_GATE_CHILD,RTM-491,ACCEPTANCE_GATE_FOR,SCK_APPROVAL_BEFORE_CORRESPONDING_TEST,A,EO-APPROVED-TEST-PROGRAMME,SOURCE_BOUND_W116_W307,PASS,PASS_EXPLICIT,PASS,PASS,KEEP_PRETEST_APPROVAL_GATE,HIGH,Source-bound W307 re-entry preserves approval before the corresponding test.
RTM-493,ACCEPTANCE_PROGRAMME_GOVERNANCE,4.13.1,DECOMPOSITION_CHILD,RTM-491,DECOMPOSES,PROGRAMME_BEFORE_TEST,A,EO-ACCEPTANCE-PROGRAMME,SOURCE_BOUND_W116_W307,PASS,BOUND,PASS,PASS,KEEP_MINIMUM_PROGRAMME_CONTENT,HIGH,"Defines the minimum programme content needed for objective, repeatable acceptance testing."
RTM-494,ACCEPTANCE_PROGRAMME_GOVERNANCE,4.13.1,DECOMPOSITION_CHILD,RTM-491,DECOMPOSES,DURING_TEST_AND_REPORT_ACCEPTANCE,B,EO-ACCEPTANCE-RECORDS,SOURCE_BOUND_W116_W307,PASS,BOUND,PASS,REVIEW_PROOF_BURDEN,KEEP_EXECUTION_RECORD_ACCEPTANCE_CONTROLS,HIGH,"Source-bound W307 maps RTM-494 to execution, records and acceptance controls."
RTM-495,ACCEPTANCE_PROGRAMME_GOVERNANCE,4.13.1,CONSTRAINT_CHILD,RTM-491,CONSTRAINS,FAT_SAT_EXECUTION,A,EO-TEST-RESOURCE-RACI,SOURCE_BOUND_W116_W307,PASS,BOUND,PASS,REVIEW_RESOURCE_ALLOCATION,KEEP_RESOURCE_RESPONSIBILITY_UNLESS_EXPLICITLY_REALLOCATED,HIGH,Defines test equipment/tools/instrumentation/consumables/utilities responsibility; resource provision does not replace result responsibility.
RTM-496,FAT_EXECUTION,4.13.2,VERIFICATION_PARENT_CANDIDATE,MANUFACTURED_QPS_TECHNICAL_PARENTS,VERIFIES,L3_M21_FAT_APPROVAL,B,EO-FAT-EXECUTION,EXACT_SOURCE_REENTRY,PASS,PASS_L3_M21,PASS,PASS,KEEP_FAT_UMBRELLA,HIGH,Source requires FAT to verify manufactured QPS and functional Parts comply with Contract requirements.
RTM-497,FAT_EXECUTION,4.13.2,VERIFICATION_CHILD,RTM-496,VERIFIES,L3_M21_FAT_APPROVAL,B,EO-RTM-497-FAT,EXACT_SOURCE_REENTRY,PASS,PASS_L3_M21,PASS,REVIEW_EQUIVALENT_METHOD,KEEP_TEST_PREDICATE_ALLOW_APPROVED_EQUIVALENT_METHOD,HIGH,"FAT functional verification of functional Parts including electrical, leak and wiring checks."
RTM-498,FAT_EXECUTION,4.13.2,VERIFICATION_CHILD,RTM-496,VERIFIES,L3_M21_FAT_APPROVAL,B,EO-RTM-498-FAT,EXACT_SOURCE_REENTRY,PASS,PASS_L3_M21,PASS,REVIEW_EQUIVALENT_METHOD,KEEP_TEST_PREDICATE_ALLOW_APPROVED_EQUIVALENT_METHOD,HIGH,"Detailed FAT tests/activities including dimensional, pressure/helium leak, instrumentation/wiring and other manufacturing verification."
RTM-499,SAT_EXECUTION_GENERAL,4.13.3,VERIFICATION_PARENT_CANDIDATE,AS_BUILT_QPS_TECHNICAL_PARENTS,VERIFIES,L6_M44_M45,B,EO-SAT-EXECUTION,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_UMBRELLA,HIGH,Source-bound SAT family demonstrates as-built QPS Contract compliance under site conditions.
RTM-500,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-500-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
RTM-501,SAT_GENERAL_EVIDENCE_RULES,4.13.3,VERIFICATION_CONSTRAINT_CHILD,RTM-499,CONSTRAINS,L6_SAT,B,EO-RTM-501-SAT,SOURCE_BOUND_W116,PASS,PASS_L6,PASS,PASS,KEEP_SAT_MEASUREMENT_AND_EVIDENCE_CONTROL,HIGH,"Source-bound SAT general/evidence rule controlling prerequisites, operating point, measurement, uncertainty, representative setup or prior-test reuse."
